class,file,number,odd,gap,elapsed,fixNum,gazes,fixavglen,sacavglen,saclen,rec,det,lam,corm,coverage5,coverage7,coverage10
L,B1728,2,1,495,6030,10,327,498.2,7.170524139419759,71.70524139419759,16.97221107096659,0.0,0.0,7.97091752531335,0.16,0.12244897959183673,0.08
L,B1728,20,1,180,6036,6,320,802.1666666666666,4.206784266184388,25.240705597106327,27.37585705381259,0.0,56.17789921068609,12.704757947226263,0.16,0.08163265306122448,0.05
L,B1728,21,2,181,11022,16,636,605.0,8.583525841140274,137.33641345824438,2.243801652892562,43.92265193370166,0.0,1.0693755739210284,0.28,0.1836734693877551,0.1
L,B1728,22,1,175,6035,10,339,510.9,7.776217319366671,77.76217319366671,4.921598051369044,0.0,0.0,2.7342211396494687,0.24,0.14285714285714285,0.09
L,B1728,23,2,153,11026,18,641,545.3333333333334,7.558492254409931,136.05286057937874,10.060405580325039,20.657612580414582,14.001072194424589,2.4948674997109443,0.24,0.20408163265306123,0.1
L,B1728,3,2,163,11038,19,637,502.0,7.944760367711485,150.95044698651822,6.556231215488921,0.0,0.0,3.578117678732762,0.36,0.24489795918367346,0.14
L,B1728,4,1,478,6029,14,319,326.2857142857143,7.59514585115535,106.3320419161749,5.4341236696753334,0.0,0.0,2.072171732349558,0.32,0.16326530612244897,0.11
L,B1728,5,2,1185,11038,10,578,912.2,9.500308549996017,95.00308549996018,4.747984116543643,0.0,0.0,2.7373789048860306,0.2,0.16326530612244897,0.08
L,B1728,6,1,139,6037,4,349,1374.75,5.809332590077454,23.237330360309816,0.0,0.0,0.0,0.0,0.16,0.08163265306122448,0.04
L,B1728,7,2,448,11025,24,604,352.1666666666667,8.055628900011941,193.3350936002866,2.593674766970514,0.0,0.0,0.7520059904614248,0.4,0.24489795918367346,0.17
L,B1728,8,1,146,6036,15,348,317.6666666666667,7.60238125454159,114.03571881812385,0.0,0.0,0.0,0.0,0.32,0.20408163265306123,0.15
L,B1728,9,2,249,11037,18,612,510.8333333333333,6.758373025593572,121.6507144606843,4.9777692479928355,0.0,0.0,1.2797311612486852,0.24,0.20408163265306123,0.1
L,C1025,0,1,25,4342,5,261,820.0,2.822326529740224,14.11163264870112,17.378048780487802,0.0,14.175438596491228,15.53048780487805,0.12,0.061224489795918366,0.04
L,C1025,1,2,24,3878,8,233,416.625,2.385084217407551,19.08067373926041,34.760618919034755,65.57336621454994,93.97040690505548,12.138356692812138,0.12,0.061224489795918366,0.03
L,C1025,10,1,701,4638,3,238,1497.3333333333333,6.70315636197499,20.10946908592497,0.0,0.0,0.0,0.0,0.08,0.04081632653061224,0.03
L,C1025,11,2,23,2664,2,161,1257.5,1.0135750549039992,2.0271501098079985,0.0,0.0,0.0,0.0,0.04,0.02040816326530612,0.02
L,C1025,12,1,22,2410,5,145,400.0,3.4935689745209144,17.467844872604573,5.7625,0.0,100.0,1.440625,0.08,0.08163265306122448,0.04
L,C1025,13,2,25,1638,2,99,789.5,2.767381180025688,5.534762360051376,0.0,0.0,0.0,0.0,0.08,0.04081632653061224,0.02
L,C1025,14,1,23,2576,6,155,341.6666666666667,5.1375826329867325,30.825495797920397,8.90731707317073,0.0,0.0,5.344390243902439,0.12,0.10204081632653061,0.06
L,C1025,15,2,23,2196,3,132,691.0,2.6874980378721447,8.062494113616435,0.0,0.0,0.0,0.0,0.08,0.04081632653061224,0.03
L,C1025,16,1,634,3583,2,179,1760.0,0.9883802202262032,1.9767604404524064,0.0,0.0,0.0,0.0,0.04,0.02040816326530612,0.02
L,C1025,17,2,21,6380,7,384,846.5714285714286,1.6808009513327697,11.765606659329388,61.03892451344358,52.14025710731235,114.87351978989079,31.572730340870738,0.08,0.04081632653061224,0.03
L,C1025,18,1,22,5232,5,314,936.6,6.075126633957723,30.375633169788614,15.390775144138372,0.0,0.0,7.695387572069186,0.16,0.08163265306122448,0.04
L,C1025,19,2,785,4941,3,215,1572.0,2.184922234620034,6.554766703860102,48.218829516539444,0.0,100.0,24.109414758269722,0.08,0.04081632653061224,0.02
